Date,Day of the week,Shaka/Chisum/Kingfisher,Notes
8/5/2027,Thu,794,
8/6/2027,Fri,1189,
8/7/2027,Sat,1308,farmer's market
8/8/2027,Sun,794,
8/9/2027,Mon,520,
8/10/2027,Tue,520,
8/11/2027,Wed,520,
8/12/2027,Thu,794,
8/13/2027,Fri,1189,
8/14/2027,Sat,1189,
8/15/2027,Sun,794,
8/16/2027,Mon,520,
8/17/2027,Tue,520,
8/18/2027,Wed,520,
8/19/2027,Thu,794,
8/20/2027,Fri,1189,
8/21/2027,Sat,1189,
8/22/2027,Sun,794,
8/23/2027,Mon,520,
8/24/2027,Tue,520,
8/25/2027,Wed,520,
8/26/2027,Thu,794,
8/27/2027,Fri,1189,
8/28/2027,Sat,1189,
8/29/2027,Sun,794,
8/30/2027,Mon,387,
8/31/2027,Tue,387,
9/1/2027,Wed,387,
9/2/2027,Thu,593,
9/3/2027,Fri,1326,Labor Day
9/4/2027,Sat,1326,Labor Day
9/5/2027,Sun,711,Labor Day
9/6/2027,Mon,483,Labor Day
9/7/2027,Tue,387,
9/8/2027,Wed,387,
9/9/2027,Thu,593,
9/10/2027,Fri,884,
9/11/2027,Sat,884,
9/12/2027,Sun,593,
9/13/2027,Mon,387,
9/14/2027,Tue,387,
9/15/2027,Wed,387,
9/16/2027,Thu,593,
9/17/2027,Fri,884,
9/18/2027,Sat,884,
9/19/2027,Sun,593,
9/20/2027,Mon,387,
9/21/2027,Tue,387,
9/22/2027,Wed,387,
9/23/2027,Thu,593,
9/24/2027,Fri,884,
9/25/2027,Sat,884,
9/26/2027,Sun,593,
9/27/2027,Mon,387,
9/28/2027,Tue,387,
9/29/2027,Wed,387,
9/30/2027,Thu,737,
10/1/2027,Fri,1054,
10/2/2027,Sat,1160,farmer's market
10/3/2027,Sun,737,
10/4/2027,Mon,499,
10/5/2027,Tue,499,
10/6/2027,Wed,499,
10/7/2027,Thu,737,
10/8/2027,Fri,1054,
10/9/2027,Sat,1054,
10/10/2027,Sun,737,
10/11/2027,Mon,499,
10/12/2027,Tue,499,
10/13/2027,Wed,499,
10/14/2027,Thu,737,
10/15/2027,Fri,1054,
10/16/2027,Sat,1054,
10/17/2027,Sun,737,
10/18/2027,Mon,499,
10/19/2027,Tue,499,
10/20/2027,Wed,499,
10/21/2027,Thu,737,
10/22/2027,Fri,1054,
10/23/2027,Sat,1054,
10/24/2027,Sun,737,
10/25/2027,Mon,499,
10/26/2027,Tue,499,
10/27/2027,Wed,499,
10/28/2027,Thu,737,
10/29/2027,Fri,1054,
10/30/2027,Sat,1054,
10/31/2027,Sun,737,
11/1/2027,Mon,520,
11/2/2027,Tue,520,
11/3/2027,Wed,520,
11/4/2027,Thu,794,
11/5/2027,Fri,1189,
11/6/2027,Sat,1308,farmer's market
11/7/2027,Sun,794,
11/8/2027,Mon,520,
11/9/2027,Tue,520,
11/10/2027,Wed,520,
11/11/2027,Thu,794,
11/12/2027,Fri,1189,
11/13/2027,Sat,1189,
11/14/2027,Sun,794,
11/15/2027,Mon,520,
11/16/2027,Tue,520,
11/17/2027,Wed,520,
11/18/2027,Thu,794,
11/19/2027,Fri,1189,
11/20/2027,Sat,1189,
11/21/2027,Sun,794,
11/22/2027,Mon,520,
11/23/2027,Tue,520,
11/24/2027,Wed,520,
11/25/2027,Thu,1032,Thanksgiving
11/26/2027,Fri,1224,Thanksgiving
11/27/2027,Sat,1224,Thanksgiving
11/28/2027,Sun,794,
11/29/2027,Mon,360,
11/30/2027,Tue,360,
12/1/2027,Wed,360,
12/2/2027,Thu,555,
12/3/2027,Fri,761,
12/4/2027,Sat,837,farmer's market
12/5/2027,Sun,555,
12/6/2027,Mon,360,
12/7/2027,Tue,360,
12/8/2027,Wed,360,
12/9/2027,Thu,555,
12/10/2027,Fri,761,
12/11/2027,Sat,761,
12/12/2027,Sun,555,
12/13/2027,Mon,360,
12/14/2027,Tue,360,
12/15/2027,Wed,360,
12/16/2027,Thu,555,
12/17/2027,Fri,807,Pre-XMAS
12/18/2027,Sat,807,Pre-XMAS
12/19/2027,Sun,588,Pre-XMAS
12/20/2027,Mon,381,Pre-XMAS
12/21/2027,Tue,381,Pre-XMAS
12/22/2027,Wed,381,Pre-XMAS
12/23/2027,Thu,588,Pre-XMAS
12/24/2027,Fri,913,XMAS
12/25/2027,Sat,913,XMAS
12/26/2027,Sun,913,XMAS
12/27/2027,Mon,360,
12/28/2027,Tue,360,
12/29/2027,Wed,360,
12/30/2027,Thu,1217,NYE
12/31/2027,Fri,1217,NYE
1/1/2028,Sat,1217,NYE
1/2/2028,Sun,974,NYE
1/3/2028,Mon,369,post ny
1/4/2028,Tue,369,post ny
1/5/2028,Wed,369,post ny
1/6/2028,Thu,573,post ny
1/7/2028,Fri,808,post ny
1/8/2028,Sat,808,post ny
1/9/2028,Sun,573,post ny
