unit_id,season,season_revenue,season_room_nights,season_bookings,season_adr,season_score_1_10,season_percentile
400 LaFave North: The Sundial,Shoulder,52915.0,153,50,345.85,3.0322580645161286,22.6
500 LaFave North: Big Springs,Shoulder,63275.0,111,35,570.05,4.483870967741936,38.7
501 LaFave North: Cathedral Mountain,Shoulder,95405.0,121,36,788.47,8.548387096774192,83.9
502 LaFave North: East Temple,Shoulder,60010.0,104,32,577.02,3.32258064516129,25.8
503 LaFave North: Johnson Mountain,Shoulder,102100.0,132,43,773.48,9.129032258064514,90.3
504 LaFave North: Kayenta,Shoulder,50640.0,110,37,460.36,2.451612903225806,16.1
505 LaFave North: Lava Point,Shoulder,77930.0,116,38,671.81,6.516129032258065,61.3
506 LaFave North: Meridian Tower,Shoulder,60095.0,93,29,646.18,3.612903225806451,29.0
507 LaFave North: Mount Kinesava,Shoulder,48495.0,113,38,429.16,2.161290322580645,12.9
508 LaFave North: Phantom Valley,Shoulder,67500.0,120,34,562.5,5.064516129032257,45.2
509 LaFave North: Pine Creek,Shoulder,63775.0,111,37,574.55,4.774193548387096,41.9
510 LaFave North: Virgin River,Shoulder,96020.0,120,38,800.17,8.838709677419354,87.1
511 LaFave North: Weeping Rock,Shoulder,71860.0,150,58,479.07,5.64516129032258,51.6
