tier_id,tier_label,days,avg_revpar,min_revpar,max_revpar,avg_adr,avg_occupancy_pct,min_percentile,max_percentile,share_of_days_pct
1,Soft,276,72.62,3.63,224.36,398.7,15.62,0.15,20.03,20.1
2,Low,273,207.6,49.87,411.61,593.96,34.31,20.17,39.88,19.88
3,Shoulder,275,310.65,207.28,455.09,663.07,46.44,40.17,60.01,20.03
4,High,277,399.75,259.88,484.46,831.46,49.28,60.09,80.08,20.17
5,Peak,272,473.17,308.82,699.36,829.52,56.73,80.26,99.93,19.81
