unit_id,channel,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
507 LaFave North: Mount Kinesava,Expedia,19,35507.25,60,11.61,10.98,591.79
507 LaFave North: Mount Kinesava,VRBO,7,16218.0,25,5.3,4.05,648.72
508 LaFave North: Phantom Valley,Airbnb,12,23350.01,38,5.75,7.1,614.47
508 LaFave North: Phantom Valley,Booking.com,4,7833.9400000000005,11,1.93,2.37,712.18
508 LaFave North: Phantom Valley,Direct,143,349273.0,460,86.02,84.62,759.29
508 LaFave North: Phantom Valley,Expedia,7,19078.86,24,4.7,4.14,794.95
508 LaFave North: Phantom Valley,VRBO,3,6492.0,9,1.6,1.78,721.33
509 LaFave North: Pine Creek,Airbnb,5,10381.0,16,2.61,2.98,648.81
509 LaFave North: Pine Creek,Booking.com,4,5208.98,9,1.31,2.38,578.78
509 LaFave North: Pine Creek,Direct,137,337260.2,457,84.92,81.55,737.99
509 LaFave North: Pine Creek,Expedia,12,23892.0,34,6.02,7.14,702.71
509 LaFave North: Pine Creek,VRBO,10,20390.62,29,5.13,5.95,703.12
510 LaFave North: Virgin River,Airbnb,20,60486.22,68,10.27,10.42,889.5
510 LaFave North: Virgin River,Booking.com,6,15638.0,16,2.65,3.12,977.38
510 LaFave North: Virgin River,Direct,140,444772.4,460,75.49,72.92,966.9
510 LaFave North: Virgin River,Expedia,12,27428.26,31,4.66,6.25,884.78
510 LaFave North: Virgin River,VRBO,14,40871.61,42,6.94,7.29,973.13
511 LaFave North: Weeping Rock,Airbnb,26,38333.0,71,9.25,11.06,539.9
511 LaFave North: Weeping Rock,Booking.com,7,9398.27,18,2.27,2.98,522.13
511 LaFave North: Weeping Rock,Direct,173,317891.38,477,76.67,73.62,666.44
511 LaFave North: Weeping Rock,Expedia,21,34615.79,62,8.35,8.94,558.32
511 LaFave North: Weeping Rock,VRBO,8,14367.53,25,3.47,3.4,574.7
