channel,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
Direct,3845,8894664.53,12010,78.04,76.03,740.6
Other,43,102396.0,157,0.9,0.85,652.2
Expedia,372,685497.62,1033,6.01,7.36,663.6
Booking.com,217,387573.98,599,3.4,4.29,647.04
VRBO,219,534460.34,706,4.69,4.33,757.03
Little Travel Group,19,37321.0,51,0.33,0.38,731.78
Airbnb,342,755965.16,1079,6.63,6.76,700.62
