unit_id,year_month,bookings,room_nights,revenue,adr,min_adr,max_adr
FLOHOM 3,2026-04,9,16,5677.0,354.81,239.66666666666663,547.5
FLOHOM 11,2026-04,7,15,4687.85,312.52,199.5,627.5
FLOHOM 14,2026-04,7,13,4623.65,355.67,269.73333333333335,556.0
FLOHOM 12,2026-04,8,13,6510.25,500.79,326.0,650.5
FLOHOM 7,2026-04,11,20,10948.7,547.44,353.6666666666667,819.0
FLOHOM 4,2026-04,14,24,15749.15,656.21,439.15,1244.0
FLOHOM 5,2026-04,7,12,4888.7,407.39,359.0,503.0
FLOHOM 1,2026-04,9,17,12810.82,753.58,556.0,846.0
FLOHOM 13,2026-04,9,14,7367.45,526.25,383.575,689.8
FLOHOM 9,2026-04,8,17,7634.2,449.07,323.5,615.5
FLOHOM 10,2026-04,7,11,6629.1,602.65,446.8,814.15
FLOHOM 8,2026-04,11,18,8613.0,478.5,314.5,633.0
FLOHOM 2,2026-04,5,12,6549.2,545.77,305.0,987.5
FLOHOM 6,2026-04,8,21,12099.45,576.16,501.1875,757.0
