channel,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
Other,1109,989450.52,1931,57.72,56.5,512.4
Direct,250,207466.33,448,12.1,12.74,463.09
Airbnb,553,455424.52,937,26.57,28.17,486.05
VRBO,51,61821.0,106,3.61,2.6,583.22
