tier_id,tier_label,days,avg_revpar,min_revpar,max_revpar,avg_adr,avg_occupancy_pct,min_percentile,max_percentile,share_of_days_pct
1,Soft,122,192.4,0.0,543.97,373.15,14.26,0.14,16.69,16.69
2,Low,122,271.83,30.75,489.15,408.06,24.92,16.83,33.38,16.69
3,Shoulder Low,122,340.62,101.51,588.38,450.74,29.4,33.52,50.07,16.69
4,Shoulder High,121,396.77,151.98,747.45,517.12,34.71,50.21,66.62,16.55
5,High,122,459.06,192.82,700.02,528.95,37.32,66.76,83.31,16.69
6,Peak,122,494.13,253.18,766.93,538.75,40.27,83.45,100.0,16.69
