Date,Day of the week,Greenhouse,Greenhouse ADA,Greenhouse Pet Friendly,Spyglass,Spyglass ADA,Spyglass Pet Friendly,Comments
5/8/2027,Sat,1051,1051,1051,1261,1261,1261,
5/9/2027,Sun,613,613,613,736,736,736,
5/10/2027,Mon,528,528,528,633,633,633,
5/11/2027,Tue,528,528,528,633,633,633,
5/12/2027,Wed,528,528,528,633,633,633,
5/13/2027,Thu,578,578,578,693,693,693,
5/14/2027,Fri,774,774,774,928,928,928,
5/15/2027,Sat,1051,1051,1051,1261,1261,1261,
5/16/2027,Sun,613,613,613,736,736,736,
5/17/2027,Mon,528,528,528,633,633,633,
5/18/2027,Tue,528,528,528,633,633,633,
5/19/2027,Wed,528,528,528,633,633,633,
5/20/2027,Thu,578,578,578,693,693,693,
5/21/2027,Fri,774,774,774,928,928,928,
5/22/2027,Sat,1051,1051,1051,1261,1261,1261,
5/23/2027,Sun,613,613,613,736,736,736,
5/24/2027,Mon,528,528,528,633,633,633,
5/25/2027,Tue,528,528,528,633,633,633,
5/26/2027,Wed,528,528,528,633,633,633,
5/27/2027,Thu,578,578,578,693,693,693,
5/28/2027,Fri,968,968,968,1161,1161,1161,Memorial Day
5/29/2027,Sat,1313,1313,1313,1576,1576,1576,Memorial Day
5/30/2027,Sun,766,766,766,920,920,920,Memorial Day
5/31/2027,Mon,660,660,660,791,791,791,Memorial Day
6/1/2027,Tue,528,528,528,633,633,633,
6/2/2027,Wed,528,528,528,633,633,633,
6/3/2027,Thu,578,578,578,693,693,693,
6/4/2027,Fri,774,774,774,928,928,928,
6/5/2027,Sat,1051,1051,1051,1261,1261,1261,
6/6/2027,Sun,613,613,613,736,736,736,
6/7/2027,Mon,528,528,528,633,633,633,
6/8/2027,Tue,528,528,528,633,633,633,
6/9/2027,Wed,528,528,528,633,633,633,
6/10/2027,Thu,578,578,578,693,693,693,
6/11/2027,Fri,774,774,774,928,928,928,
6/12/2027,Sat,1051,1051,1051,1261,1261,1261,
6/13/2027,Sun,613,613,613,736,736,736,
6/14/2027,Mon,528,528,528,633,633,633,
6/15/2027,Tue,528,528,528,633,633,633,
6/16/2027,Wed,528,528,528,633,633,633,
6/17/2027,Thu,578,578,578,693,693,693,
6/18/2027,Fri,774,774,774,928,928,928,
6/19/2027,Sat,1051,1051,1051,1261,1261,1261,
6/20/2027,Sun,613,613,613,736,736,736,
6/21/2027,Mon,528,528,528,633,633,633,
6/22/2027,Tue,528,528,528,633,633,633,
6/23/2027,Wed,528,528,528,633,633,633,
6/24/2027,Thu,578,578,578,693,693,693,
6/25/2027,Fri,774,774,774,928,928,928,
6/26/2027,Sat,1051,1051,1051,1261,1261,1261,
6/27/2027,Sun,613,613,613,736,736,736,
6/28/2027,Mon,528,528,528,633,633,633,
6/29/2027,Tue,528,528,528,633,633,633,
6/30/2027,Wed,528,528,528,633,633,633,
7/1/2027,Thu,665,665,665,797,797,797,4th of July
7/2/2027,Fri,891,891,891,1068,1068,1068,4th of July
7/3/2027,Sat,1208,1208,1208,1450,1450,1450,4th of July
7/4/2027,Sun,705,705,705,846,846,846,4th of July
7/5/2027,Mon,345,345,345,414,414,414,
7/6/2027,Tue,345,345,345,414,414,414,
7/7/2027,Wed,345,345,345,414,414,414,
7/8/2027,Thu,378,378,378,453,453,453,
7/9/2027,Fri,506,506,506,607,607,607,
7/10/2027,Sat,686,686,686,824,824,824,
7/11/2027,Sun,401,401,401,481,481,481,
7/12/2027,Mon,345,345,345,414,414,414,
7/13/2027,Tue,345,345,345,414,414,414,
7/14/2027,Wed,345,345,345,414,414,414,
7/15/2027,Thu,378,378,378,453,453,453,
