listing_group,month_index,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Greenhouse,1,345,345,345,378,460,624,401
Greenhouse,2,406,406,406,445,541,734,472
Greenhouse,3,467,467,467,511,622,845,542
Greenhouse,4,467,467,467,511,622,845,542
Greenhouse,5,528,528,528,578,704,955,613
Greenhouse,6,528,528,528,578,704,955,613
Greenhouse,7,345,345,345,378,460,624,401
Greenhouse,8,406,406,406,445,541,734,472
Greenhouse,9,406,406,406,445,541,734,472
Greenhouse,10,467,467,467,511,622,845,542
Greenhouse,11,406,406,406,445,541,734,472
Greenhouse,12,467,467,467,511,622,845,542
Spyglass,1,414,414,414,453,552,749,481
Spyglass,2,487,487,487,533,649,881,566
Spyglass,3,560,560,560,613,747,1014,651
Spyglass,4,560,560,560,613,747,1014,651
Spyglass,5,633,633,633,693,844,1146,736
Spyglass,6,633,633,633,693,844,1146,736
Spyglass,7,414,414,414,453,552,749,481
Spyglass,8,487,487,487,533,649,881,566
Spyglass,9,487,487,487,533,649,881,566
Spyglass,10,560,560,560,613,747,1014,651
Spyglass,11,487,487,487,533,649,881,566
Spyglass,12,560,560,560,613,747,1014,651
