Listing Id,Listing Name,PMS Name,Reason,Start Date,End Date,Price,Currency,Price Type,Minimum Stay,Minimum Price,Minimum Price Type,Maximum Price,Maximum Price Type
316005___633306,Onera Wimberley Greenhouse -- 9 units,cloudbeds,,1/4/27,1/4/27,345,USD,fixed,2,,fixed,,fixed
316005___633307,Onera Wimberley Greenhouse (Accessible),cloudbeds,,1/4/27,1/4/27,345,USD,fixed,2,,fixed,,fixed
316005___633308,Onera Wimberley Greenhouse (Pet Friendly) -- 6 units,cloudbeds,,1/4/27,1/4/27,345,USD,fixed,2,,fixed,,fixed
316005___633310,Onera Wimberley Spyglass -- 5 units,cloudbeds,,1/4/27,1/4/27,414,USD,fixed,2,,fixed,,fixed
316005___633311,Onera Wimberley Spyglass (Accessible),cloudbeds,,1/4/27,1/4/27,414,USD,fixed,2,,fixed,,fixed
316005___633312,Onera Wimberley Spyglass (Pet Friendly) -- 6 units,cloudbeds,,1/4/27,1/4/27,414,USD,fixed,2,,fixed,,fixed
316005___633306,Onera Wimberley Greenhouse -- 9 units,cloudbeds,,1/5/27,1/5/27,345,USD,fixed,2,,fixed,,fixed
316005___633307,Onera Wimberley Greenhouse (Accessible),cloudbeds,,1/5/27,1/5/27,345,USD,fixed,2,,fixed,,fixed
316005___633308,Onera Wimberley Greenhouse (Pet Friendly) -- 6 units,cloudbeds,,1/5/27,1/5/27,345,USD,fixed,2,,fixed,,fixed
316005___633310,Onera Wimberley Spyglass -- 5 units,cloudbeds,,1/5/27,1/5/27,414,USD,fixed,2,,fixed,,fixed
316005___633311,Onera Wimberley Spyglass (Accessible),cloudbeds,,1/5/27,1/5/27,414,USD,fixed,2,,fixed,,fixed
316005___633312,Onera Wimberley Spyglass (Pet Friendly) -- 6 units,cloudbeds,,1/5/27,1/5/27,414,USD,fixed,2,,fixed,,fixed
316005___633306,Onera Wimberley Greenhouse -- 9 units,cloudbeds,,1/6/27,1/6/27,345,USD,fixed,2,,fixed,,fixed
316005___633307,Onera Wimberley Greenhouse (Accessible),cloudbeds,,1/6/27,1/6/27,345,USD,fixed,2,,fixed,,fixed
316005___633308,Onera Wimberley Greenhouse (Pet Friendly) -- 6 units,cloudbeds,,1/6/27,1/6/27,345,USD,fixed,2,,fixed,,fixed
316005___633310,Onera Wimberley Spyglass -- 5 units,cloudbeds,,1/6/27,1/6/27,414,USD,fixed,2,,fixed,,fixed
316005___633311,Onera Wimberley Spyglass (Accessible),cloudbeds,,1/6/27,1/6/27,414,USD,fixed,2,,fixed,,fixed
316005___633312,Onera Wimberley Spyglass (Pet Friendly) -- 6 units,cloudbeds,,1/6/27,1/6/27,414,USD,fixed,2,,fixed,,fixed
316005___633306,Onera Wimberley Greenhouse -- 9 units,cloudbeds,,1/7/27,1/7/27,378,USD,fixed,2,,fixed,,fixed
316005___633307,Onera Wimberley Greenhouse (Accessible),cloudbeds,,1/7/27,1/7/27,378,USD,fixed,2,,fixed,,fixed
316005___633308,Onera Wimberley Greenhouse (Pet Friendly) -- 6 units,cloudbeds,,1/7/27,1/7/27,378,USD,fixed,2,,fixed,,fixed
316005___633310,Onera Wimberley Spyglass -- 5 units,cloudbeds,,1/7/27,1/7/27,453,USD,fixed,2,,fixed,,fixed
316005___633311,Onera Wimberley Spyglass (Accessible),cloudbeds,,1/7/27,1/7/27,453,USD,fixed,2,,fixed,,fixed
316005___633312,Onera Wimberley Spyglass (Pet Friendly) -- 6 units,cloudbeds,,1/7/27,1/7/27,453,USD,fixed,2,,fixed,,fixed
316005___633306,Onera Wimberley Greenhouse -- 9 units,cloudbeds,,1/8/27,1/8/27,506,USD,fixed,2,,fixed,,fixed
316005___633307,Onera Wimberley Greenhouse (Accessible),cloudbeds,,1/8/27,1/8/27,506,USD,fixed,2,,fixed,,fixed
316005___633308,Onera Wimberley Greenhouse (Pet Friendly) -- 6 units,cloudbeds,,1/8/27,1/8/27,506,USD,fixed,2,,fixed,,fixed
316005___633310,Onera Wimberley Spyglass -- 5 units,cloudbeds,,1/8/27,1/8/27,607,USD,fixed,2,,fixed,,fixed
316005___633311,Onera Wimberley Spyglass (Accessible),cloudbeds,,1/8/27,1/8/27,607,USD,fixed,2,,fixed,,fixed
316005___633312,Onera Wimberley Spyglass (Pet Friendly) -- 6 units,cloudbeds,,1/8/27,1/8/27,607,USD,fixed,2,,fixed,,fixed
316005___633306,Onera Wimberley Greenhouse -- 9 units,cloudbeds,,1/9/27,1/9/27,686,USD,fixed,2,,fixed,,fixed
316005___633307,Onera Wimberley Greenhouse (Accessible),cloudbeds,,1/9/27,1/9/27,686,USD,fixed,2,,fixed,,fixed
316005___633308,Onera Wimberley Greenhouse (Pet Friendly) -- 6 units,cloudbeds,,1/9/27,1/9/27,686,USD,fixed,2,,fixed,,fixed
316005___633310,Onera Wimberley Spyglass -- 5 units,cloudbeds,,1/9/27,1/9/27,824,USD,fixed,2,,fixed,,fixed
316005___633311,Onera Wimberley Spyglass (Accessible),cloudbeds,,1/9/27,1/9/27,824,USD,fixed,2,,fixed,,fixed
316005___633312,Onera Wimberley Spyglass (Pet Friendly) -- 6 units,cloudbeds,,1/9/27,1/9/27,824,USD,fixed,2,,fixed,,fixed
316005___633306,Onera Wimberley Greenhouse -- 9 units,cloudbeds,,1/10/27,1/10/27,401,USD,fixed,2,,fixed,,fixed
316005___633307,Onera Wimberley Greenhouse (Accessible),cloudbeds,,1/10/27,1/10/27,401,USD,fixed,2,,fixed,,fixed
316005___633308,Onera Wimberley Greenhouse (Pet Friendly) -- 6 units,cloudbeds,,1/10/27,1/10/27,401,USD,fixed,2,,fixed,,fixed
316005___633310,Onera Wimberley Spyglass -- 5 units,cloudbeds,,1/10/27,1/10/27,481,USD,fixed,2,,fixed,,fixed
316005___633311,Onera Wimberley Spyglass (Accessible),cloudbeds,,1/10/27,1/10/27,481,USD,fixed,2,,fixed,,fixed
316005___633312,Onera Wimberley Spyglass (Pet Friendly) -- 6 units,cloudbeds,,1/10/27,1/10/27,481,USD,fixed,2,,fixed,,fixed
316005___633306,Onera Wimberley Greenhouse -- 9 units,cloudbeds,,1/11/27,1/11/27,345,USD,fixed,2,,fixed,,fixed
316005___633307,Onera Wimberley Greenhouse (Accessible),cloudbeds,,1/11/27,1/11/27,345,USD,fixed,2,,fixed,,fixed
316005___633308,Onera Wimberley Greenhouse (Pet Friendly) -- 6 units,cloudbeds,,1/11/27,1/11/27,345,USD,fixed,2,,fixed,,fixed
316005___633310,Onera Wimberley Spyglass -- 5 units,cloudbeds,,1/11/27,1/11/27,414,USD,fixed,2,,fixed,,fixed
316005___633311,Onera Wimberley Spyglass (Accessible),cloudbeds,,1/11/27,1/11/27,414,USD,fixed,2,,fixed,,fixed
316005___633312,Onera Wimberley Spyglass (Pet Friendly) -- 6 units,cloudbeds,,1/11/27,1/11/27,414,USD,fixed,2,,fixed,,fixed
316005___633306,Onera Wimberley Greenhouse -- 9 units,cloudbeds,,1/12/27,1/12/27,345,USD,fixed,2,,fixed,,fixed
316005___633307,Onera Wimberley Greenhouse (Accessible),cloudbeds,,1/12/27,1/12/27,345,USD,fixed,2,,fixed,,fixed
316005___633308,Onera Wimberley Greenhouse (Pet Friendly) -- 6 units,cloudbeds,,1/12/27,1/12/27,345,USD,fixed,2,,fixed,,fixed
316005___633310,Onera Wimberley Spyglass -- 5 units,cloudbeds,,1/12/27,1/12/27,414,USD,fixed,2,,fixed,,fixed
316005___633311,Onera Wimberley Spyglass (Accessible),cloudbeds,,1/12/27,1/12/27,414,USD,fixed,2,,fixed,,fixed
316005___633312,Onera Wimberley Spyglass (Pet Friendly) -- 6 units,cloudbeds,,1/12/27,1/12/27,414,USD,fixed,2,,fixed,,fixed
316005___633306,Onera Wimberley Greenhouse -- 9 units,cloudbeds,,1/13/27,1/13/27,345,USD,fixed,2,,fixed,,fixed
316005___633307,Onera Wimberley Greenhouse (Accessible),cloudbeds,,1/13/27,1/13/27,345,USD,fixed,2,,fixed,,fixed
316005___633308,Onera Wimberley Greenhouse (Pet Friendly) -- 6 units,cloudbeds,,1/13/27,1/13/27,345,USD,fixed,2,,fixed,,fixed
316005___633310,Onera Wimberley Spyglass -- 5 units,cloudbeds,,1/13/27,1/13/27,414,USD,fixed,2,,fixed,,fixed
316005___633311,Onera Wimberley Spyglass (Accessible),cloudbeds,,1/13/27,1/13/27,414,USD,fixed,2,,fixed,,fixed
