date,unit_id,listing,listing_group,season,month,dow,ati_static,pricelabs,gap_dollars,gap_abs
2027-10-23,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,10,Saturday,1525,3065.0,-1540.0,1540.0
2027-10-30,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,10,Saturday,1525,3065.0,-1540.0,1540.0
2027-10-16,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,10,Saturday,1525,3065.0,-1540.0,1540.0
2027-09-11,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Saturday,1525,3065.0,-1540.0,1540.0
2027-04-23,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,4,Friday,1500,3037.0,-1537.0,1537.0
2027-04-22,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,4,Thursday,1500,3037.0,-1537.0,1537.0
2027-05-13,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Thursday,1500,3028.0,-1528.0,1528.0
2027-05-06,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Thursday,1500,3028.0,-1528.0,1528.0
2027-05-14,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Friday,1500,3028.0,-1528.0,1528.0
2027-05-07,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Friday,1500,3028.0,-1528.0,1528.0
2027-03-19,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,3,Friday,1500,3017.0,-1517.0,1517.0
2027-03-18,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,3,Thursday,1500,3017.0,-1517.0,1517.0
2027-05-29,503 LaFave North: Johnson Mountain,Johnson Mountain,J.MT. Villa (3BR/2BA),Spring Peak,5,Saturday,925,2441.0,-1516.0,1516.0
2027-05-22,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Saturday,1500,3010.0,-1510.0,1510.0
2027-04-24,503 LaFave North: Johnson Mountain,Johnson Mountain,J.MT. Villa (3BR/2BA),Spring Peak,4,Saturday,925,2434.0,-1509.0,1509.0
2027-04-10,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,4,Saturday,1500,3005.0,-1505.0,1505.0
2027-03-13,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,3,Saturday,1500,3005.0,-1505.0,1505.0
2027-04-24,211 LaFave South: The Narrows,The Narrows,Premier Villa (3BR/3BA),Spring Peak,4,Saturday,1025,2528.0,-1503.0,1503.0
2027-04-24,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Spring Peak,4,Saturday,1025,2528.0,-1503.0,1503.0
