source,season,room_type,dow,rate
draft_matrix,low,Villa Game (2BR/2BA),Tue,482
draft_matrix,low,Villa Game (2BR/2BA),Wed,490
draft_matrix,low,Villa Game (2BR/2BA),Thu,594
draft_matrix,low,Villa Game (2BR/2BA),Fri,594
draft_matrix,low,Villa Game (2BR/2BA),Sat,647
draft_matrix,low,Villa Game (2BR/2BA),Sun,520
draft_matrix,low,J.MT. Villa (3BR/2BA),Mon,606
draft_matrix,low,J.MT. Villa (3BR/2BA),Tue,606
draft_matrix,low,J.MT. Villa (3BR/2BA),Wed,615
draft_matrix,low,J.MT. Villa (3BR/2BA),Thu,741
draft_matrix,low,J.MT. Villa (3BR/2BA),Fri,741
draft_matrix,low,J.MT. Villa (3BR/2BA),Sat,804
draft_matrix,low,J.MT. Villa (3BR/2BA),Sun,651
draft_matrix,low,Premier Villa (3BR/3BA),Mon,636
draft_matrix,low,Premier Villa (3BR/3BA),Tue,636
draft_matrix,low,Premier Villa (3BR/3BA),Wed,645
draft_matrix,low,Premier Villa (3BR/3BA),Thu,772
draft_matrix,low,Premier Villa (3BR/3BA),Fri,772
draft_matrix,low,Premier Villa (3BR/3BA),Sat,836
draft_matrix,low,Premier Villa (3BR/3BA),Sun,682
draft_matrix,shoulder,House (6BR/4BA),Mon,1370
draft_matrix,shoulder,House (6BR/4BA),Tue,1370
draft_matrix,shoulder,House (6BR/4BA),Wed,1386
draft_matrix,shoulder,House (6BR/4BA),Thu,1620
draft_matrix,shoulder,House (6BR/4BA),Fri,1620
draft_matrix,shoulder,House (6BR/4BA),Sat,1738
draft_matrix,shoulder,House (6BR/4BA),Sun,1452
draft_matrix,shoulder,Suite BIG (1BR/1BA),Mon,429
draft_matrix,shoulder,Suite BIG (1BR/1BA),Tue,429
draft_matrix,shoulder,Suite BIG (1BR/1BA),Wed,435
draft_matrix,shoulder,Suite BIG (1BR/1BA),Thu,514
draft_matrix,shoulder,Suite BIG (1BR/1BA),Fri,514
draft_matrix,shoulder,Suite BIG (1BR/1BA),Sat,554
draft_matrix,shoulder,Suite BIG (1BR/1BA),Sun,458
draft_matrix,shoulder,Suite SMALL (1BR/1BA),Mon,346
