,Off,Shoulder,Spring Peak,Fall Peak
Deluxe Villa (2BR/1BA),550,575,675,700
House (6BR/4BA),1250,1525,2125,2250
J.MT. Villa (3BR/2BA),650,825,1225,1300
Premier Villa (3BR/3BA),675,875,1300,1375
Premium Villa (2BR/2BA),575,600,750,875
Suite BIG (1BR/1BA),275,375,500,550
Suite SMALL (1BR/1BA),225,325,450,475
Villa Game (2BR/2BA),600,625,825,900
