listing_group,month_index,month_name,draft_base,published,diff,diff_pct
Suite SMALL (1BR/1BA),5,May,474.0,441,-33.0,-7.0
Suite SMALL (1BR/1BA),6,Jun,457.0,472,15.0,3.3
Suite SMALL (1BR/1BA),7,Jul,368.0,384,16.0,4.3
Suite SMALL (1BR/1BA),8,Aug,375.0,332,-43.0,-11.5
Suite SMALL (1BR/1BA),9,Sep,419.0,516,97.0,23.2
Suite SMALL (1BR/1BA),10,Oct,435.0,516,81.0,18.6
Suite SMALL (1BR/1BA),11,Nov,341.0,312,-29.0,-8.5
Suite SMALL (1BR/1BA),12,Dec,215.0,290,75.0,34.9
Villa Game (2BR/2BA),1,Jan,513.0,450,-63.0,-12.3
Villa Game (2BR/2BA),2,Feb,527.0,448,-79.0,-15.0
Villa Game (2BR/2BA),3,Mar,860.0,1068,208.0,24.2
Villa Game (2BR/2BA),4,Apr,940.0,1202,262.0,27.9
Villa Game (2BR/2BA),5,May,987.0,993,6.0,0.6
Villa Game (2BR/2BA),6,Jun,954.0,1104,150.0,15.7
Villa Game (2BR/2BA),7,Jul,786.0,886,100.0,12.7
Villa Game (2BR/2BA),8,Aug,799.0,782,-17.0,-2.1
Villa Game (2BR/2BA),9,Sep,882.0,1212,330.0,37.4
Villa Game (2BR/2BA),10,Oct,914.0,1109,195.0,21.3
Villa Game (2BR/2BA),11,Nov,734.0,744,10.0,1.4
Villa Game (2BR/2BA),12,Dec,465.0,534,69.0,14.8
