"Date","Occupancy"
"2023-04-01","35.71"
"2023-05-01","29.03"
"2023-06-01","11.54"
"2023-07-01","100"
"2023-08-01","92.86"
"2023-09-01","6.9"
"2023-10-01","0"
"2023-11-01","0"
"2023-12-01","0"
"2024-01-01","0"
"2024-02-01","0"
"2024-03-01","0"
"2024-04-01","0"
"2024-05-01","64.29"
"2024-06-01","86.36"
"2024-07-01","82.35"
"2024-08-01","94.12"
"2024-09-01","100"
"2024-10-01","95.24"
"2024-11-01","100"
"2024-12-01","73.91"
"2025-01-01","83.87"
"2025-02-01","48.84"
"2025-03-01","91.11"
"2025-04-01","84.75"
"2025-05-01","82.05"
"2025-06-01","95.71"
"2025-07-01","90"
"2025-08-01","89.47"
"2025-09-01","77.03"
"2025-10-01","83.54"
"2025-11-01","70.42"
"2025-12-01","51.22"
"2026-01-01","63.01"
"2026-02-01","44.3"
"2026-03-01","73.42"
