"Date","25%","50%","75%","90%"
"2023-04-01","2268","4224","5104","5104"
"2023-05-01","681","3072","4109","5762"
"2023-06-01","2784","4828","6031","12479"
"2023-07-01","4250","4342","8626","8688"
"2023-08-01","1716","3688","5425","8607"
"2023-09-01","4371","5169","6079","6079"
"2023-10-01","1443","2153","6044","9405"
"2023-11-01","2605","2640","2672","5070"
"2023-12-01","2306","2306","2395","2395"
"2024-01-01","1792","2681","3538","3538"
"2024-02-01","3488","3488","3726","3726"
"2024-03-01","748","2519","4132","5046"
"2024-04-01","770","1582","2799","5948"
"2024-05-01","2222","2351","3372","4702"
"2024-06-01","3957","4249","4886","7158"
"2024-07-01","918","2602","4935","8570"
"2024-08-01","1491","4078","5876","8824"
"2024-09-01","2091","3012","4462","8259"
"2024-10-01","2899","3849","5580","7523"
"2024-11-01","1623","2292","5199","6704"
"2024-12-01","272","770","2462","4041"
"2025-01-01","172","310","4756","4756"
"2025-02-01","391","610","1189","4489"
"2025-03-01","1023","1730","3992","6966"
"2025-04-01","1160","1759","3127","7054"
"2025-05-01","1536","1783","4865","5039"
"2025-06-01","2666","4173","5949","9764"
"2025-07-01","1566","2383","6573","10198"
"2025-08-01","2370","2846","6467","11246"
"2025-09-01","2088","5755","6072","7116"
"2025-10-01","2967","4065","5719","7066"
"2025-11-01","622","1466","2019","5396"
"2025-12-01","919","1983","3852","3852"
"2026-01-01","2032","2032","2038","2038"
"2026-02-01","947","947","4519","4519"
"2026-03-01","1928","2651","5074","7320"
