tier_id,tier_label,days,avg_revpar,min_revpar,max_revpar,avg_adr,avg_occupancy_pct,min_percentile,max_percentile,share_of_days_pct
1,Soft,220,137.25,20.17,256.88,76.19,26.58,0.09,20.07,20.07
2,Low,220,195.43,72.94,384.13,77.18,38.03,20.21,40.1,20.07
3,Shoulder,218,332.62,126.25,672.33,96.3,50.63,40.24,59.99,19.89
4,High,219,642.11,364.49,1046.59,151.03,61.98,60.13,79.97,19.98
5,Peak,219,827.92,479.63,1153.26,152.79,84.95,80.16,99.95,19.98
