day_of_week,revenue,room_nights,check_ins,share_of_check_ins_pct,share_of_revenue_pct,share_of_room_nights_pct,adr,dow_score_1_10
Monday,238165.81098877755,1997,1374,13.76,12.38,12.86,119.26,3.1
Tuesday,247278.0160998887,2098,1356,13.58,12.85,13.52,117.86,3.1
Wednesday,248464.77831557495,2096,1390,13.92,12.91,13.5,118.54,4.0
Thursday,270853.3375933527,2170,1437,14.39,14.08,13.98,124.82,7.0
Friday,340948.4730356604,2583,1745,17.47,17.72,16.64,132.0,9.100000000000001
Saturday,343589.8362856604,2654,1472,14.74,17.86,17.1,129.46,9.4
Sunday,234555.35768108527,1925,1214,12.15,12.19,12.4,121.85,2.8
