Listing Id,Listing Name,PMS Name,Reason,Start Date,End Date,Price,Currency,Price Type,Minimum Stay,Minimum Price,Minimum Price Type,Maximum Price,Maximum Price Type
203812___364781,Onera Fredericksburg Monarch,cloudbeds,,2027-01-10,2027-01-10,547,USD,fixed,2,,fixed,,fixed
203812___364782,Onera Fredericksburg Buckeye Bungalow,cloudbeds,,2027-01-10,2027-01-10,388,USD,fixed,2,,fixed,,fixed
203812___490007,Onera Fredericksburg Cedar Haus,cloudbeds,,2027-01-10,2027-01-10,241,USD,fixed,2,,fixed,,fixed
203812___490024,Onera Fredericksburg Juniper Haus,cloudbeds,,2027-01-10,2027-01-10,241,USD,fixed,2,,fixed,,fixed
203812___528745,Onera Fredericksburg Pecan Haus,cloudbeds,,2027-01-10,2027-01-10,241,USD,fixed,2,,fixed,,fixed
203812___634080,Onera Fredericksburg Bluebonnet,cloudbeds,,2027-01-10,2027-01-10,388,USD,fixed,2,,fixed,,fixed
203812___643757,Onera Fredericksburg Great Lodge,cloudbeds,,2027-01-10,2027-01-10,2314,USD,fixed,2,,fixed,,fixed
203812___643760,Onera Fredericksburg Post Oak,cloudbeds,,2027-01-10,2027-01-10,310,USD,fixed,2,,fixed,,fixed
203812___643762,Onera Fredericksburg Cypress Lodge | Sleeps 4 -- 2 units,cloudbeds,,2027-01-10,2027-01-10,425,USD,fixed,2,,fixed,,fixed
203812___643764,Onera Fredericksburg Quonset -- 2 units,cloudbeds,,2027-01-10,2027-01-10,425,USD,fixed,2,,fixed,,fixed
203812___643766,Onera Fredericksburg Winecup -- 2 units,cloudbeds,,2027-01-10,2027-01-10,425,USD,fixed,2,,fixed,,fixed
