day_of_week,revenue,room_nights,check_ins,share_of_check_ins_pct,share_of_revenue_pct,share_of_room_nights_pct,adr,dow_score_1_10
Monday,519477.4142857143,1506,952,15.63,10.67,14.04,344.94,5.2
Tuesday,465595.83095238096,1428,689,11.32,9.56,13.31,326.05,2.2
Wednesday,444255.3476190476,1327,722,11.86,9.13,12.37,334.78,1.9
Thursday,491747.93095238094,1155,667,10.95,10.1,10.77,425.76,4.0
Friday,1092488.580952381,1828,1402,23.03,22.44,17.04,597.64,8.500000000000002
Saturday,1215492.230952381,2008,687,11.28,24.97,18.72,605.32,10.0
Sunday,638710.6642857143,1475,970,15.93,13.12,13.75,433.02,6.699999999999999
