tier_id,tier_label,start_date,end_date,length_days
1,Soft,2024-08-01,2024-09-15,46
2,Low,2024-09-16,2024-09-21,6
3,Shoulder,2024-09-22,2024-09-23,2
2,Low,2024-09-24,2024-10-06,13
3,Shoulder,2024-10-07,2024-10-09,3
4,High,2024-10-10,2024-10-22,13
3,Shoulder,2024-10-23,2024-10-27,5
2,Low,2024-10-28,2024-11-01,5
3,Shoulder,2024-11-02,2024-11-21,20
4,High,2024-11-22,2024-11-22,1
3,Shoulder,2024-11-23,2024-12-03,11
2,Low,2024-12-04,2024-12-10,7
1,Soft,2024-12-11,2024-12-16,6
2,Low,2024-12-17,2024-12-20,4
3,Shoulder,2024-12-21,2024-12-23,3
4,High,2024-12-24,2024-12-25,2
5,Peak,2024-12-26,2025-01-02,8
4,High,2025-01-03,2025-01-05,3
3,Shoulder,2025-01-06,2025-01-07,2
2,Low,2025-01-08,2025-01-22,15
1,Soft,2025-01-23,2025-01-31,9
2,Low,2025-02-01,2025-02-06,6
3,Shoulder,2025-02-07,2025-02-08,2
4,High,2025-02-09,2025-02-11,3
5,Peak,2025-02-12,2025-02-21,10
4,High,2025-02-22,2025-02-26,5
3,Shoulder,2025-02-27,2025-03-02,4
4,High,2025-03-03,2025-03-07,5
5,Peak,2025-03-08,2025-03-27,20
4,High,2025-03-28,2025-04-15,19
3,Shoulder,2025-04-16,2025-04-17,2
4,High,2025-04-18,2025-05-08,21
3,Shoulder,2025-05-09,2025-05-09,1
4,High,2025-05-10,2025-05-11,2
3,Shoulder,2025-05-12,2025-05-12,1
4,High,2025-05-13,2025-05-18,6
5,Peak,2025-05-19,2025-06-01,14
4,High,2025-06-02,2025-06-02,1
5,Peak,2025-06-03,2025-07-01,29
4,High,2025-07-02,2025-07-03,2
3,Shoulder,2025-07-04,2025-07-10,7
2,Low,2025-07-11,2025-07-12,2
1,Soft,2025-07-13,2025-07-13,1
2,Low,2025-07-14,2025-07-16,3
3,Shoulder,2025-07-17,2025-07-20,4
4,High,2025-07-21,2025-07-25,5
3,Shoulder,2025-07-26,2025-07-28,3
2,Low,2025-07-29,2025-08-01,4
1,Soft,2025-08-02,2025-09-15,45
2,Low,2025-09-16,2025-09-21,6
3,Shoulder,2025-09-22,2025-09-23,2
2,Low,2025-09-24,2025-10-06,13
3,Shoulder,2025-10-07,2025-10-09,3
4,High,2025-10-10,2025-10-22,13
3,Shoulder,2025-10-23,2025-10-27,5
2,Low,2025-10-28,2025-11-01,5
3,Shoulder,2025-11-02,2025-11-21,20
4,High,2025-11-22,2025-11-22,1
3,Shoulder,2025-11-23,2025-12-03,11
2,Low,2025-12-04,2025-12-10,7
1,Soft,2025-12-11,2025-12-16,6
2,Low,2025-12-17,2025-12-20,4
3,Shoulder,2025-12-21,2025-12-23,3
4,High,2025-12-24,2025-12-25,2
5,Peak,2025-12-26,2026-01-02,8
4,High,2026-01-03,2026-01-05,3
3,Shoulder,2026-01-06,2026-01-07,2
2,Low,2026-01-08,2026-01-22,15
1,Soft,2026-01-23,2026-01-31,9
2,Low,2026-02-01,2026-02-06,6
3,Shoulder,2026-02-07,2026-02-08,2
4,High,2026-02-09,2026-02-11,3
5,Peak,2026-02-12,2026-02-21,10
4,High,2026-02-22,2026-02-26,5
3,Shoulder,2026-02-27,2026-03-02,4
4,High,2026-03-03,2026-03-07,5
5,Peak,2026-03-08,2026-03-29,22
4,High,2026-03-30,2026-03-31,2
