channel,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
Direct,4777,4004977.0,8545,82.28,78.45,468.69
Airbnb,770,502786.0,1262,10.33,12.65,398.4
Expedia,224,143326.0,348,2.94,3.68,411.86
Booking.com,68,58484.0,106,1.2,1.12,551.74
Mr and Mrs Smith,208,112909.0,314,2.32,3.42,359.58
Group Booking,42,45286.0,152,0.93,0.69,297.93
