day_of_week,revenue,room_nights,check_ins,share_of_check_ins_pct,share_of_revenue_pct,share_of_room_nights_pct,adr,dow_score_1_10,dow_history_days,dow_rank_provisional
Monday,42299.33437184286,113,46,11.41,6.78,9.24,374.33,2.2,1029,False
Tuesday,40839.36196569286,113,34,8.44,6.54,9.24,361.41,1.0,1029,False
Wednesday,53581.69534629286,129,48,11.91,8.59,10.55,415.36,4.0,1029,False
Thursday,108372.60580450953,193,104,25.81,17.37,15.78,561.52,7.0,1029,False
Friday,149686.14235329285,259,104,25.81,23.99,21.18,577.94,8.500000000000002,1029,False
Saturday,152274.34813595953,262,32,7.94,24.4,21.42,581.2,10.0,1029,False
Sunday,76942.30136460952,154,35,8.68,12.33,12.59,499.63,5.5,1029,False
