channel,year,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
Airbnb,2024,196,299947.7901882,595,100.0,100.0,504.11
Airbnb,2023,3,3478.9900513000002,6,100.0,100.0,579.83
Airbnb,2025,107,180634.5895128,332,100.0,100.0,544.08
Airbnb,2026,97,139934.4195899,290,100.0,100.0,482.53
