unit_id,year_month,bookings,room_nights,revenue,adr,min_adr,max_adr,p05_adr,p95_adr
Sunstrip,2023-12,3,6,3478.9900513000002,579.83,414.0,828.210022,422.33,795.12
Sunstrip,2024-01,6,18,11796.109863,655.34,496.5,880.0633136666667,507.88,843.21
Malvern,2024-01,1,3,1291.0,430.33,430.3333333333333,430.3333333333333,430.33,430.33
Sunstrip,2024-02,14,40,22320.0299974,558.0,256.5,1105.7600096666667,291.44,939.28
Malvern,2024-02,3,9,2991.0,332.33,260.0,464.6666666666667,261.23,445.43
Sunstrip,2024-03,16,50,29957.840211,599.16,246.5,1693.0600585,260.88,1480.39
Malvern,2024-03,6,16,5767.0,360.44,284.0,599.0,294.25,539.75
Sunstrip,2024-04,18,54,28857.190184799998,534.39,218.33333333333337,1313.533366,242.98,1303.45
Malvern,2024-04,5,10,5082.0,508.2,357.3333333333333,723.6666666666666,371.67,687.33
Sunstrip,2024-05,10,32,22492.370239,702.89,397.75,1590.893392,399.06,1420.99
Malvern,2024-05,10,30,12346.019898,411.53,228.5,744.3099773333333,260.5,664.82
Sunstrip,2024-06,18,52,20167.3297718,387.83,240.5,795.8833006666667,243.05,635.33
Malvern,2024-06,6,14,5692.4299928,406.6,274.3333333333333,569.0499878,295.67,558.56
Sunstrip,2024-07,18,52,20643.4198601,396.99,227.33333333333337,665.2033283333334,235.83,615.05
Malvern,2024-07,8,28,13760.750122,491.46,387.6666666666667,591.9974975,396.53,588.71
Sunstrip,2024-08,8,24,11382.2800294,474.26,297.5,900.3400066666667,300.94,825.55
Malvern,2024-08,2,8,2244.150024,280.52,242.75,318.287506,246.53,314.51
Sunstrip,2024-09,10,34,15715.0097647,462.21,211.2,1072.76245125,238.33,996.59
Malvern,2024-09,8,14,5285.6600342,377.55,259.0,822.1099854,264.25,753.82
Sunstrip,2024-10,9,37,27327.5398566,738.58,237.33333333333337,1383.0299804,264.8,1322.95
Malvern,2024-10,6,24,13131.640136,547.15,268.6,1153.040039,272.03,1080.91
Sunstrip,2024-11,7,23,12415.210083599999,539.79,395.3200073,860.13250725,407.29,768.48
Malvern,2024-11,1,3,1163.01001,387.67,387.67000333333334,387.67000333333334,387.67,387.67
Sunstrip,2024-12,6,20,8118.8001097999995,405.94,345.82250975,453.2928641428571,346.07,450.55
Sunstrip,2025-01,8,25,11947.3898935,477.9,277.97000125,753.053304,289.6,714.04
Sunstrip,2025-02,5,16,10638.2799691,664.89,299.3866577,997.8066406666668,364.55,939.26
Sunstrip,2025-03,8,27,15262.3400273,565.27,352.0516765,814.2399903333334,387.85,805.98
Sunstrip,2025-04,8,21,13417.0795901,638.91,348.569987,1552.4332683333332,362.12,1321.45
Sunstrip,2025-05,9,25,18208.4801026,728.34,300.6966756333333,1166.0733236666667,330.67,1115.72
Malvern,2025-05,1,2,912.4099731,456.2,456.20498655,456.20498655,456.2,456.2
Sunstrip,2025-06,7,19,11926.4601139,627.71,333.03798820000003,943.17334,348.97,928.23
Malvern,2025-06,3,11,3943.0499265,358.46,318.66427171428575,451.04501345,327.31,446.46
Sunstrip,2025-07,7,25,11975.8101815,479.03,340.15715685714287,953.8500163333332,343.33,844.31
Malvern,2025-07,5,22,7360.159912,334.55,275.34750375,552.659973,281.64,511.36
Sunstrip,2025-08,5,17,10655.9600827,626.82,305.06667066666665,1036.266683,315.25,1009.82
Malvern,2025-08,3,8,3137.5599367,392.19,332.33999635,488.1933186666667,332.72,472.98
Sunstrip,2025-09,6,21,11281.3699959,537.21,248.8600098,1246.1049805,274.41,1194.03
Malvern,2025-09,2,4,1673.0599975,418.26,373.68499755,462.8450012,378.14,458.39
Sunstrip,2025-10,8,23,16440.0098877,714.78,325.26000976666666,1152.523356,333.72,1127.9
Malvern,2025-10,4,14,7816.619934,558.33,314.730011,740.147998,339.94,709.57
Sunstrip,2025-11,8,26,13485.4599003,518.67,265.7849935,1155.5833333333333,266.67,1073.61
Malvern,2025-11,1,3,909.0900269,303.03,303.0300089666667,303.0300089666667,303.03,303.03
Sunstrip,2025-12,8,21,8965.4000859,426.92,279.23999023333334,567.060018,282.39,549.04
Malvern,2025-12,1,2,678.5999756,339.3,339.2999878,339.2999878,339.3,339.3
Sunstrip,2026-01,8,28,12524.7301642,447.31,262.3724975,1165.2800293333332,264.45,951.54
Malvern,2026-01,1,3,862.289978,287.43,287.4299926666667,287.4299926666667,287.43,287.43
Sunstrip,2026-02,8,19,9422.2200319,495.91,268.3200073333333,930.180013,279.85,833.32
Malvern,2026-02,1,2,819.6699829,409.83,409.83499145,409.83499145,409.83,409.83
Sunstrip,2026-03,12,33,20674.0000317,626.48,293.67001345,1334.3400066666666,297.21,1132.66
Malvern,2026-03,3,22,7129.9699705,324.09,275.3400065,488.5919922,275.38,467.31
Sunstrip,2026-04,6,16,7562.589874400001,472.66,188.9850006,716.2299805,214.96,709.06
Malvern,2026-04,3,9,3253.7699579,361.53,283.5300089666667,407.939982,294.49,406.46
Sunstrip,2026-05,8,22,13250.6999201,602.3,368.7749939,967.9799803333334,372.96,896.45
Malvern,2026-05,4,9,3101.6699832,344.63,305.3699951,386.4899903333333,308.7,379.24
Sunstrip,2026-06,10,24,11417.1000372,475.71,287.23498535,727.7399903333334,295.66,701.24
Malvern,2026-06,3,8,3125.0700690999997,390.63,367.77001966666666,425.880005,368.2,420.5
Sunstrip,2026-07,8,27,12490.919983,462.63,292.5,643.5,304.17,642.95
Malvern,2026-07,5,16,6472.4398196,404.53,335.2049865,503.4899903333333,341.33,499.9
Malvern,2026-08,3,9,3487.7699579,387.53,336.95999145,423.1499836666667,341.87,419.44
Sunstrip,2026-08,6,15,6498.1799933,433.21,277.6799926666667,566.2799886666667,288.55,564.23
Sunstrip,2026-09,4,12,8426.339966,702.19,627.5100096666666,821.3400066666667,631.66,803.85
Malvern,2026-09,2,9,3240.900025,360.1,354.978003,366.5025025,355.55,365.93
Sunstrip,2026-10,2,7,6174.089844,882.01,843.569987,910.84497075,846.93,907.48
