"Date","Occupancy"
"2023-04-01","39.29"
"2023-05-01","15.62"
"2023-06-01","40.48"
"2023-07-01","61.29"
"2023-08-01","90.91"
"2023-09-01","74.42"
"2023-10-01","81.67"
"2023-11-01","36.67"
"2023-12-01","48.89"
"2024-01-01","40.35"
"2024-02-01","38.33"
"2024-03-01","46.34"
"2024-04-01","50"
"2024-05-01","61.61"
"2024-06-01","60.38"
"2024-07-01","70.67"
"2024-08-01","79.07"
"2024-09-01","80.49"
"2024-10-01","63.2"
"2024-11-01","51.54"
"2024-12-01","43.7"
"2025-01-01","45.86"
"2025-02-01","40.71"
"2025-03-01","58.39"
"2025-04-01","58.97"
"2025-05-01","65.03"
"2025-06-01","68.85"
"2025-07-01","77.19"
"2025-08-01","76.56"
"2025-09-01","52.74"
"2025-10-01","58.62"
"2025-11-01","46.75"
"2025-12-01","47.65"
"2026-01-01","33.54"
"2026-02-01","32.9"
"2026-03-01","57.62"
