tier_id,tier_label,days,avg_revpar,min_revpar,max_revpar,avg_adr,avg_occupancy_pct,min_percentile,max_percentile,share_of_days_pct
1,Soft,122,180.27,53.57,441.8,396.39,23.59,0.14,16.64,16.71
2,Low,121,253.78,100.64,557.73,444.1,34.96,16.92,33.22,16.58
3,Shoulder Low,122,272.42,85.69,689.19,437.33,32.94,33.42,50.0,16.71
4,Shoulder High,122,360.19,115.03,788.16,446.3,39.99,50.14,66.64,16.71
5,High,121,369.93,139.92,821.36,456.66,43.82,66.85,83.29,16.58
6,Peak,122,465.57,182.22,1069.27,471.86,61.32,83.42,100.0,16.71
