unit_id,year_month,bookings,room_nights,revenue,adr,min_adr,max_adr
Sage Safari,2025-01,8,10,3584.0,358.4,213.0,484.0
Spyglass,2025-01,7,7,2774.0,396.29,275.0,525.0
Buckeye Bungalow,2025-01,8,10,2944.0,294.4,213.0,409.0
Pecan Haus,2025-01,7,9,1847.0,205.22,164.0,244.0
Lantana Dome,2025-01,6,8,2564.0,320.5,243.5,484.0
Bluebonnet,2025-01,5,7,1970.0,281.43,185.0,344.0
Walnut House,2025-01,5,7,3388.0,484.0,274.0,784.0
Monarch,2025-01,6,7,3062.0,437.43,304.0,627.0
Cedar Haus,2025-01,5,5,1216.0,243.2,156.0,314.0
Live Oak Lodge,2025-01,6,6,2984.0,497.33,259.0,834.0
Juniper Haus,2025-01,7,10,2199.0,219.9,164.0,344.0
Cocoon,2025-01,2,3,784.0,261.33,213.0,285.5
Sage Safari,2025-02,13,21,9706.0,462.19,212.0,764.0
Monarch,2025-02,10,16,6994.0,437.12,305.0,683.25
Spyglass,2025-02,10,18,8813.0,489.61,274.0,1032.0
Pecan Haus,2025-02,9,12,3536.0,294.67,189.0,354.5
Lantana Dome,2025-02,15,24,9400.0,391.67,217.5,1110.5
Live Oak Lodge,2025-02,18,24,11417.0,475.71,252.0,1297.0
Cedar Haus,2025-02,12,20,5879.0,293.95,176.5,529.0
Cocoon,2025-02,13,21,7457.0,355.1,210.0,604.0
Bluebonnet,2025-02,6,7,1608.0,229.71,215.0,254.0
Walnut House,2025-02,12,21,11961.0,569.57,294.0,1659.0
Juniper Haus,2025-02,7,8,1785.0,223.12,188.0,365.0
Buckeye Bungalow,2025-02,10,15,6763.0,450.87,244.0,790.0
Bluebonnet,2025-03,13,25,10199.0,407.96,177.0,765.0
Live Oak Lodge,2025-03,12,29,16446.0,567.1,226.5,924.0
Monarch,2025-03,17,27,17449.0,646.26,304.0,1334.0
Buckeye Bungalow,2025-03,13,23,10623.0,461.87,212.0,798.0
Sage Safari,2025-03,14,24,11225.0,467.71,227.0,876.0
Cocoon,2025-03,15,24,12494.0,520.58,212.0,808.0
