channel,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
Expedia,778,399877.73,1239,8.18,12.8,322.74
Direct,4684,4033994.66,8449,82.5,77.09,477.45
Airbnb,471,360356.85,752,7.37,7.75,479.2
Booking.com,129,92208.38,206,1.89,2.12,447.61
Email,8,560.0,16,0.01,0.13,35.0
HotelTonight (Channel Collect Booking),2,770.5999999999999,2,0.02,0.03,385.3
Hotelnet (Hotel Collect Booking),4,1651.4,6,0.03,0.07,275.23
