unit_id,month_index,day_of_week,source_used,sample_n,raw_cell_adr,fallback_adr,smooth_weight_cell,pre_hierarchy_adr,month_baseline_adr,cap_low,cap_high,post_hierarchy_adr,hierarchy_uplift,final_matrix_adr
11BR,1,Monday,listing_dow,0,,1547.2516666666666,,1547.2516666666666,1765.8203703703705,1147.783240740741,2825.312592592593,1908.7469135802467,361.4952469135801,1909.0
11BR,1,Tuesday,lmd_smoothed_to_listing_dow,1,1071.3333333333333,2013.423611111111,0.1111,1908.7469135802467,1765.8203703703705,1147.783240740741,2825.312592592593,1908.7469135802467,0.0,1909.0
11BR,1,Wednesday,lmd_smoothed_to_listing_dow,1,1978.0,2015.6555555555558,0.1111,2011.4716049382719,1765.8203703703705,1147.783240740741,2825.312592592593,1908.7469135802467,-102.72469135802521,1909.0
11BR,1,Thursday,listing_dow,0,,2724.837037037037,,2724.837037037037,1765.8203703703705,1147.783240740741,2825.312592592593,2724.837037037037,0.0,2725.0
11BR,1,Friday,listing_month_dow,6,1950.1736111111113,2358.6095238095236,,1950.1736111111113,1765.8203703703705,1147.783240740741,2825.312592592593,2725.837037037037,775.6634259259258,2726.0
11BR,1,Saturday,listing_dow,0,,1902.8333333333335,,1902.8333333333335,1765.8203703703705,1147.783240740741,2825.312592592593,2725.837037037037,823.0037037037036,2726.0
11BR,1,Sunday,lmd_smoothed_to_listing_dow,1,1400.4,2053.8933333333334,0.1111,1981.2829629629628,1765.8203703703705,1147.783240740741,2825.312592592593,1981.2829629629628,0.0,1981.0
11BR,2,Monday,lmd_smoothed_to_listing_dow,1,2354.4,1547.2516666666666,0.1111,1661.5805555555557,2556.277777777778,1661.5805555555557,4090.0444444444447,2013.423611111111,351.84305555555534,2013.0
11BR,2,Tuesday,listing_dow,0,,2013.423611111111,,2013.423611111111,2556.277777777778,1661.5805555555557,4090.0444444444447,2013.423611111111,0.0,2013.0
11BR,2,Wednesday,listing_dow,0,,2015.6555555555558,,2015.6555555555558,2556.277777777778,1661.5805555555557,4090.0444444444447,2013.423611111111,-2.231944444444707,2013.0
11BR,2,Thursday,listing_month_dow,4,2807.25,2724.837037037037,,2807.25,2556.277777777778,1661.5805555555557,4090.0444444444447,2807.25,0.0,2807.0
11BR,2,Friday,listing_month_dow,4,1622.5833333333335,2358.6095238095236,,1661.5805555555557,2556.277777777778,1661.5805555555557,4090.0444444444447,2808.25,1146.6694444444443,2808.0
11BR,2,Saturday,listing_dow,0,,1902.8333333333335,,1902.8333333333335,2556.277777777778,1661.5805555555557,4090.0444444444447,2808.25,905.4166666666665,2808.0
11BR,2,Sunday,listing_dow,0,,2053.8933333333334,,2053.8933333333334,2556.277777777778,1661.5805555555557,4090.0444444444447,2053.8933333333334,0.0,2054.0
11BR,3,Monday,listing_dow,0,,1547.2516666666666,,1750.7349166666665,2693.438333333333,1750.7349166666665,4309.501333333333,2048.7744444444447,298.0395277777782,2049.0
11BR,3,Tuesday,lmd_smoothed_to_listing_dow,1,2399.75,2013.423611111111,0.1111,2056.3487654320984,2693.438333333333,1750.7349166666665,4309.501333333333,2048.7744444444447,-7.574320987653664,2049.0
11BR,3,Wednesday,lmd_smoothed_to_listing_dow,2,2181.25,2015.6555555555558,0.2,2048.7744444444447,2693.438333333333,1750.7349166666665,4309.501333333333,2048.7744444444447,0.0,2049.0
11BR,3,Thursday,listing_month_dow,3,1982.3333333333333,2724.837037037037,,1982.3333333333333,2693.438333333333,1750.7349166666665,4309.501333333333,2344.4813333333336,362.14800000000037,2344.0
11BR,3,Friday,lmd_smoothed_to_listing_dow,2,3567.25,2358.6095238095236,0.2,2600.3376190476192,2693.438333333333,1750.7349166666665,4309.501333333333,2345.4813333333336,-254.8562857142856,2345.0
11BR,3,Saturday,listing_dow,0,,1902.8333333333335,,1902.8333333333335,2693.438333333333,1750.7349166666665,4309.501333333333,2345.4813333333336,442.64800000000014,2345.0
11BR,3,Sunday,lmd_smoothed_to_listing_dow,2,3501.8333333333335,2053.8933333333334,0.2,2343.4813333333336,2693.438333333333,1750.7349166666665,4309.501333333333,2343.4813333333336,0.0,2343.0
11BR,4,Monday,lmd_smoothed_to_listing_dow,2,1712.625,1547.2516666666666,0.2,1682.0876041666668,2587.8270833333336,1682.0876041666668,4140.5233333333335,2054.1382716049384,372.0506674382716,2054.0
11BR,4,Tuesday,lmd_smoothed_to_listing_dow,1,2404.3333333333335,2013.423611111111,0.1111,2056.858024691358,2587.8270833333336,1682.0876041666668,4140.5233333333335,2054.1382716049384,-2.719753086419587,2054.0
11BR,4,Wednesday,lmd_smoothed_to_listing_dow,1,2362.0,2015.6555555555558,0.1111,2054.1382716049384,2587.8270833333336,1682.0876041666668,4140.5233333333335,2054.1382716049384,0.0,2054.0
11BR,4,Thursday,listing_month_dow,3,4512.666666666667,2724.837037037037,,4140.5233333333335,2587.8270833333336,1682.0876041666668,4140.5233333333335,4140.5233333333335,0.0,4141.0
11BR,4,Friday,lmd_smoothed_to_listing_dow,1,1245.5,2358.6095238095236,0.1111,2234.9306878306875,2587.8270833333336,1682.0876041666668,4140.5233333333335,4141.5233333333335,1906.592645502646,4142.0
11BR,4,Saturday,listing_dow,0,,1902.8333333333335,,1902.8333333333335,2587.8270833333336,1682.0876041666668,4140.5233333333335,4141.5233333333335,2238.69,4142.0
11BR,4,Sunday,listing_dow,0,,2053.8933333333334,,2053.8933333333334,2587.8270833333336,1682.0876041666668,4140.5233333333335,2055.1382716049384,1.2449382716049513,2055.0
11BR,5,Monday,lmd_smoothed_to_listing_dow,2,1187.0,1547.2516666666666,0.2,1475.2013333333334,1995.1908333333333,1296.8740416666667,3192.3053333333337,2013.423611111111,538.2222777777777,2013.0
11BR,5,Tuesday,listing_dow,0,,2013.423611111111,,2013.423611111111,1995.1908333333333,1296.8740416666667,3192.3053333333337,2013.423611111111,0.0,2013.0
11BR,5,Wednesday,listing_dow,0,,2015.6555555555558,,2015.6555555555558,1995.1908333333333,1296.8740416666667,3192.3053333333337,2013.423611111111,-2.231944444444707,2013.0
11BR,5,Thursday,listing_month_dow,4,2508.9,2724.837037037037,,2508.9,1995.1908333333333,1296.8740416666667,3192.3053333333337,2508.9,0.0,2509.0
11BR,5,Friday,listing_month_dow,3,3158.5,2358.6095238095236,,3158.5,1995.1908333333333,1296.8740416666667,3192.3053333333337,2530.666666666667,-627.833333333333,2531.0
11BR,5,Saturday,listing_dow,0,,1902.8333333333335,,1902.8333333333335,1995.1908333333333,1296.8740416666667,3192.3053333333337,2530.666666666667,627.8333333333335,2531.0
11BR,5,Sunday,lmd_smoothed_to_listing_dow,1,1013.0,2053.8933333333334,0.1111,1938.2385185185185,1995.1908333333333,1296.8740416666667,3192.3053333333337,2014.423611111111,76.18509259259258,2014.0
11BR,6,Monday,listing_dow,0,,1547.2516666666666,,1728.5016666666668,2659.2333333333336,1728.5016666666668,4254.7733333333335,1992.3765432098764,263.87487654320967,1992.0
11BR,6,Tuesday,lmd_smoothed_to_listing_dow,1,1824.0,2013.423611111111,0.1111,1992.3765432098764,2659.2333333333336,1728.5016666666668,4254.7733333333335,1992.3765432098764,0.0,1992.0
11BR,6,Wednesday,listing_dow,0,,2015.6555555555558,,2015.6555555555558,2659.2333333333336,1728.5016666666668,4254.7733333333335,1992.3765432098764,-23.279012345679348,1992.0
11BR,6,Thursday,lmd_smoothed_to_listing_dow,1,2765.6666666666665,2724.837037037037,0.1111,2729.3736625514402,2659.2333333333336,1728.5016666666668,4254.7733333333335,2729.3736625514402,0.0,2729.0
11BR,6,Friday,listing_month_dow,3,3023.3333333333335,2358.6095238095236,,3023.3333333333335,2659.2333333333336,1728.5016666666668,4254.7733333333335,2730.3736625514402,-292.95967078189324,2730.0
11BR,6,Saturday,listing_dow,0,,1902.8333333333335,,1902.8333333333335,2659.2333333333336,1728.5016666666668,4254.7733333333335,2730.3736625514402,827.5403292181068,2730.0
11BR,6,Sunday,listing_dow,0,,2053.8933333333334,,2053.8933333333334,2659.2333333333336,1728.5016666666668,4254.7733333333335,2053.8933333333334,0.0,2054.0
11BR,7,Monday,lmd_smoothed_to_listing_dow,1,1224.0,1547.2516666666666,0.1111,1511.3348148148145,1632.25,1060.9625,2611.6000000000004,2013.423611111111,502.08879629629655,2013.0
11BR,7,Tuesday,listing_dow,0,,2013.423611111111,,2013.423611111111,1632.25,1060.9625,2611.6000000000004,2013.423611111111,0.0,2013.0
11BR,7,Wednesday,lmd_smoothed_to_listing_dow,1,2368.0,2015.6555555555558,0.1111,2054.8049382716054,1632.25,1060.9625,2611.6000000000004,2013.423611111111,-41.381327160494266,2013.0
11BR,7,Thursday,listing_dow,0,,2724.837037037037,,2611.6000000000004,1632.25,1060.9625,2611.6000000000004,2611.6000000000004,0.0,2612.0
11BR,7,Friday,lmd_smoothed_to_listing_dow,1,1278.0,2358.6095238095236,0.1111,2238.541798941799,1632.25,1060.9625,2611.6000000000004,2612.6000000000004,374.0582010582016,2613.0
11BR,7,Saturday,listing_dow,0,,1902.8333333333335,,1902.8333333333335,1632.25,1060.9625,2611.6000000000004,2612.6000000000004,709.7666666666669,2613.0
11BR,7,Sunday,lmd_smoothed_to_listing_dow,1,1986.5,2053.8933333333334,0.1111,2046.405185185185,1632.25,1060.9625,2611.6000000000004,2046.405185185185,0.0,2046.0
11BR,8,Monday,lmd_smoothed_to_listing_dow,2,1225.1666666666665,1547.2516666666666,0.2,1482.8346666666666,1665.6666666666665,1082.6833333333332,2665.0666666666666,2013.423611111111,530.5889444444445,2013.0
11BR,8,Tuesday,listing_dow,0,,2013.423611111111,,2013.423611111111,1665.6666666666665,1082.6833333333332,2665.0666666666666,2013.423611111111,0.0,2013.0
11BR,8,Wednesday,listing_dow,0,,2015.6555555555558,,2015.6555555555558,1665.6666666666665,1082.6833333333332,2665.0666666666666,2013.423611111111,-2.231944444444707,2013.0
11BR,8,Thursday,listing_dow,0,,2724.837037037037,,2665.0666666666666,1665.6666666666665,1082.6833333333332,2665.0666666666666,2665.0666666666666,0.0,2665.0
11BR,8,Friday,lmd_smoothed_to_listing_dow,1,2774.0,2358.6095238095236,0.1111,2404.764021164021,1665.6666666666665,1082.6833333333332,2665.0666666666666,2666.0666666666666,261.30264550264565,2666.0
11BR,8,Saturday,lmd_smoothed_to_listing_dow,1,2105.0,1902.8333333333335,0.1111,1925.2962962962963,1665.6666666666665,1082.6833333333332,2665.0666666666666,2666.0666666666666,740.7703703703703,2666.0
11BR,8,Sunday,listing_dow,0,,2053.8933333333334,,2053.8933333333334,1665.6666666666665,1082.6833333333332,2665.0666666666666,2053.8933333333334,0.0,2054.0
11BR,9,Monday,lmd_smoothed_to_listing_dow,1,1224.0,1547.2516666666666,0.1111,1511.3348148148145,1919.378787878788,1247.5962121212121,3071.006060606061,1948.006172839506,436.6713580246915,1948.0
11BR,9,Tuesday,lmd_smoothed_to_listing_dow,1,1424.6666666666667,2013.423611111111,0.1111,1948.006172839506,1919.378787878788,1247.5962121212121,3071.006060606061,1948.006172839506,0.0,1948.0
11BR,9,Wednesday,lmd_smoothed_to_listing_dow,2,2009.0,2015.6555555555558,0.2,2014.3244444444447,1919.378787878788,1247.5962121212121,3071.006060606061,1948.006172839506,-66.31827160493867,1948.0
11BR,9,Thursday,lmd_smoothed_to_listing_dow,1,2217.3333333333335,2724.837037037037,0.1111,2668.4477366255146,1919.378787878788,1247.5962121212121,3071.006060606061,2668.4477366255146,0.0,2668.0
11BR,9,Friday,listing_month_dow,4,2403.916666666667,2358.6095238095236,,2403.916666666667,1919.378787878788,1247.5962121212121,3071.006060606061,2669.4477366255146,265.53106995884764,2669.0
11BR,9,Saturday,lmd_smoothed_to_listing_dow,1,1700.6666666666667,1902.8333333333335,0.1111,1880.3703703703704,1919.378787878788,1247.5962121212121,3071.006060606061,2669.4477366255146,789.0773662551442,2669.0
11BR,9,Sunday,lmd_smoothed_to_listing_dow,1,1562.0,2053.8933333333334,0.1111,1999.2385185185185,1919.378787878788,1247.5962121212121,3071.006060606061,1999.2385185185185,0.0,1999.0
11BR,10,Monday,lmd_smoothed_to_listing_dow,2,1788.75,1547.2516666666666,0.2,1595.5513333333333,2180.758333333333,1417.4929166666666,3489.213333333333,2013.423611111111,417.87227777777775,2013.0
11BR,10,Tuesday,listing_dow,0,,2013.423611111111,,2013.423611111111,2180.758333333333,1417.4929166666666,3489.213333333333,2013.423611111111,0.0,2013.0
11BR,10,Wednesday,lmd_smoothed_to_listing_dow,1,2185.0,2015.6555555555558,0.1111,2034.4716049382719,2180.758333333333,1417.4929166666666,3489.213333333333,2013.423611111111,-21.04799382716078,2013.0
11BR,10,Thursday,lmd_smoothed_to_listing_dow,1,2581.6,2724.837037037037,0.1111,2708.9218106995886,2180.758333333333,1417.4929166666666,3489.213333333333,2708.9218106995886,0.0,2709.0
11BR,10,Friday,lmd_smoothed_to_listing_dow,1,2379.5,2358.6095238095236,0.1111,2360.9306878306875,2180.758333333333,1417.4929166666666,3489.213333333333,2709.9218106995886,348.99112286890113,2710.0
11BR,10,Saturday,listing_dow,0,,1902.8333333333335,,1902.8333333333335,2180.758333333333,1417.4929166666666,3489.213333333333,2709.9218106995886,807.0884773662551,2710.0
11BR,10,Sunday,lmd_smoothed_to_listing_dow,1,2074.0,2053.8933333333334,0.1111,2056.127407407407,2180.758333333333,1417.4929166666666,3489.213333333333,2056.127407407407,0.0,2056.0
11BR,11,Monday,lmd_smoothed_to_listing_dow,2,2242.6666666666665,1547.2516666666666,0.2,1686.3346666666666,2114.552380952381,1374.4590476190479,3383.28380952381,1876.4716049382719,190.13693827160523,1876.0
11BR,11,Tuesday,listing_dow,0,,2013.423611111111,,2013.423611111111,2114.552380952381,1374.4590476190479,3383.28380952381,1876.4716049382719,-136.95200617283922,1876.0
11BR,11,Wednesday,lmd_smoothed_to_listing_dow,1,763.0,2015.6555555555558,0.1111,1876.4716049382719,2114.552380952381,1374.4590476190479,3383.28380952381,1876.4716049382719,0.0,1876.0
11BR,11,Thursday,lmd_smoothed_to_listing_dow,1,3088.25,2724.837037037037,0.1111,2765.216255144033,2114.552380952381,1374.4590476190479,3383.28380952381,2765.216255144033,0.0,2765.0
11BR,11,Friday,lmd_smoothed_to_listing_dow,2,1875.25,2358.6095238095236,0.2,2261.937619047619,2114.552380952381,1374.4590476190479,3383.28380952381,2766.216255144033,504.2786360964137,2766.0
11BR,11,Saturday,listing_dow,0,,1902.8333333333335,,1902.8333333333335,2114.552380952381,1374.4590476190479,3383.28380952381,2766.216255144033,863.3829218106994,2766.0
11BR,11,Sunday,lmd_smoothed_to_listing_dow,1,2654.3333333333335,2053.8933333333334,0.1111,2120.608888888889,2114.552380952381,1374.4590476190479,3383.28380952381,2120.608888888889,0.0,2121.0
11BR,12,Monday,lmd_smoothed_to_listing_dow,1,600.0,1547.2516666666666,0.1111,1442.0014814814813,1877.625,1220.45625,3004.2000000000003,2015.6555555555558,573.6540740740745,2016.0
11BR,12,Tuesday,lmd_smoothed_to_listing_dow,1,3155.25,2013.423611111111,0.1111,2140.293209876543,1877.625,1220.45625,3004.2000000000003,2015.6555555555558,-124.6376543209874,2016.0
11BR,12,Wednesday,listing_dow,0,,2015.6555555555558,,2015.6555555555558,1877.625,1220.45625,3004.2000000000003,2015.6555555555558,0.0,2016.0
11BR,12,Thursday,listing_dow,0,,2724.837037037037,,2724.837037037037,1877.625,1220.45625,3004.2000000000003,2724.837037037037,0.0,2725.0
11BR,12,Friday,listing_dow,0,,2358.6095238095236,,2358.6095238095236,1877.625,1220.45625,3004.2000000000003,2725.837037037037,367.22751322751355,2726.0
11BR,12,Saturday,listing_dow,0,,1902.8333333333335,,1902.8333333333335,1877.625,1220.45625,3004.2000000000003,2725.837037037037,823.0037037037036,2726.0
11BR,12,Sunday,listing_dow,0,,2053.8933333333334,,2053.8933333333334,1877.625,1220.45625,3004.2000000000003,2053.8933333333334,0.0,2054.0
12BR,1,Monday,listing_month_dow,3,1328.6666666666667,1664.0,,1328.6666666666667,1861.7278571428571,1210.1231071428572,2978.764571428572,1779.6571428571428,450.9904761904761,1780.0
12BR,1,Tuesday,listing_dow,0,,1780.1927083333335,,1780.1927083333335,1861.7278571428571,1210.1231071428572,2978.764571428572,1779.6571428571428,-0.5355654761906408,1780.0
12BR,1,Wednesday,listing_dow,0,,1779.6571428571428,,1779.6571428571428,1861.7278571428571,1210.1231071428572,2978.764571428572,1779.6571428571428,0.0,1780.0
12BR,1,Thursday,lmd_smoothed_to_listing_dow,2,1967.0,2872.893611111111,0.2,2691.714888888889,1861.7278571428571,1210.1231071428572,2978.764571428572,2691.714888888889,0.0,2692.0
12BR,1,Friday,listing_month_dow,3,2425.5,3183.2250000000004,,2425.5,1861.7278571428571,1210.1231071428572,2978.764571428572,2692.714888888889,267.21488888888916,2693.0
12BR,1,Saturday,listing_dow,0,,2896.44,,2896.44,1861.7278571428571,1210.1231071428572,2978.764571428572,2692.714888888889,-203.7251111111109,2693.0
12BR,1,Sunday,lmd_smoothed_to_listing_dow,2,1573.3392857142858,1869.3625563909775,0.2,1810.1579022556393,1861.7278571428571,1210.1231071428572,2978.764571428572,1810.1579022556393,0.0,1810.0
12BR,2,Monday,lmd_smoothed_to_listing_dow,2,1782.75,1664.0,0.2,1687.75,2540.752564102564,1651.4891666666667,4065.204102564103,1779.6571428571428,91.90714285714284,1780.0
12BR,2,Tuesday,lmd_smoothed_to_listing_dow,2,1866.0833333333335,1780.1927083333335,0.2,1797.3708333333336,2540.752564102564,1651.4891666666667,4065.204102564103,1779.6571428571428,-17.713690476190777,1780.0
12BR,2,Wednesday,listing_dow,0,,1779.6571428571428,,1779.6571428571428,2540.752564102564,1651.4891666666667,4065.204102564103,1779.6571428571428,0.0,1780.0
12BR,2,Thursday,listing_month_dow,4,3866.5,2872.893611111111,,3866.5,2540.752564102564,1651.4891666666667,4065.204102564103,3866.5,0.0,3866.0
12BR,2,Friday,lmd_smoothed_to_listing_dow,2,2649.5,3183.2250000000004,0.2,3076.4800000000005,2540.752564102564,1651.4891666666667,4065.204102564103,3867.5,791.0199999999995,3868.0
12BR,2,Saturday,listing_dow,0,,2896.44,,2896.44,2540.752564102564,1651.4891666666667,4065.204102564103,3867.5,971.06,3868.0
12BR,2,Sunday,listing_month_dow,3,1817.0,1869.3625563909775,,1817.0,2540.752564102564,1651.4891666666667,4065.204102564103,1817.0,0.0,1817.0
12BR,3,Monday,listing_dow,0,,1664.0,,2031.6273611111108,3125.580555555555,2031.6273611111108,5000.928888888888,2031.6273611111108,0.0,2032.0
12BR,3,Tuesday,listing_dow,0,,1780.1927083333335,,2031.6273611111108,3125.580555555555,2031.6273611111108,5000.928888888888,2031.6273611111108,0.0,2032.0
12BR,3,Wednesday,listing_dow,0,,1779.6571428571428,,2031.6273611111108,3125.580555555555,2031.6273611111108,5000.928888888888,2031.6273611111108,0.0,2032.0
12BR,3,Thursday,listing_month_dow,4,3599.6666666666665,2872.893611111111,,3599.6666666666665,3125.580555555555,2031.6273611111108,5000.928888888888,3599.6666666666665,0.0,3600.0
