tier_id,tier_label,days,avg_revpar,min_revpar,max_revpar,avg_adr,avg_occupancy_pct,min_percentile,max_percentile,share_of_days_pct
1,Soft,166,97.32,0.0,389.73,1291.43,4.87,0.24,20.16,20.22
2,Low,163,171.37,0.0,503.23,1998.75,5.23,20.4,40.01,19.85
3,Shoulder,165,210.67,0.0,617.75,1940.73,5.98,40.26,60.11,20.1
4,High,163,308.48,0.0,941.64,2568.15,6.51,60.35,79.96,19.85
5,Peak,164,351.96,0.0,1036.89,2010.44,14.26,80.21,100.0,19.98
