day_of_week,revenue,room_nights,check_ins,share_of_check_ins_pct,share_of_revenue_pct,share_of_room_nights_pct,adr,dow_score_1_10
Monday,155010.5619047619,127,58,10.18,8.82,9.13,1220.56,2.2
Tuesday,168604.49523809523,138,48,8.42,9.59,9.92,1221.77,4.6
Wednesday,166561.92857142858,131,43,7.54,9.48,9.42,1271.47,4.3
Thursday,272388.8119047619,196,114,20.0,15.5,14.09,1389.74,8.2
Friday,414537.2952380952,313,186,32.63,23.59,22.5,1324.4,9.100000000000001
Saturday,391638.07857142854,326,59,10.35,22.28,23.44,1201.34,6.4
Sunday,188844.82857142857,160,62,10.88,10.74,11.5,1180.28,3.7
