channel,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
Airbnb,397,1194155.0,970.0,67.94,69.65,1231.09
VRBO,22,132798.0,68.0,7.56,3.86,1952.91
Phone,4,42359.0,14.0,2.41,0.7,3025.64
Email,1,600.0,1.0,0.03,0.18,600.0
Direct,115,327560.0,274.0,18.64,20.18,1195.47
Influencers,1,318.0,2.0,0.02,0.18,159.0
Booking.com,11,9108.0,18.0,0.52,1.93,506.0
Expedia,15,25831.0,36.0,1.47,2.63,717.53
Owner Guest,2,14587.0,4.0,0.83,0.35,3646.75
Guest,2,10270.0,4.0,0.58,0.35,2567.5
